Wavelength (nm),Intensity (a.u.)
565,52033.27637
566.0200195,51272.07031
567.0499878,50920.76172
567.9400024,50678.79394
568.9699707,50256.93359
570,49708.84278
571.039978,48992.97851
571.9400024,48507.56836
572.9799805,48052.01172
574.0200195,47466.04492
575.0700073,46842.83691
575.9699707,46692.88574
577.0100098,46014.81446
578.0499878,45265.00488
578.9500122,44801.89453
580,44254.33594
581.0200195,43454.79004
582.0499878,42912.59766
582.9400024,42664.70703
583.9699707,41999.76562
585,41271.74317
586.0200195,40662.11914
587.0499878,40189.23096
587.9400024,39672.72461
588.9699707,39091.0376
590,38323.26416
591.0100098,37752.8125
592.0200195,37182.24366
593.039978,36380.9375
594.0499878,36081.50879
595.0700073,35476.63574
595.9400024,34757.60254
596.9500122,34146.82129
597.9699707,33752.66114
598.9799805,32927.42432
600,32272.80274
601.0200195,31874.78516
602.0499878,31256.90186
602.9400024,30910.78125
603.9699707,30213.75733
605,29540.64942
606.0200195,29048.77686
607.0499878,28419.04053
607.9400024,27929.25537
608.9699707,27376.54297
610,26667.01172
611.0100098,26117.85889
612.0200195,25815.12451
613.039978,25103.98194
614.0499878,24540.0708
615.0700073,23818.34229
615.9400024,23476.08886
616.9500122,23029.54346
617.9699707,22379.66065
618.9799805,22072.45362
620,21417.70996
621.0200195,21028.76953
622.0499878,20545.26855
622.9400024,20134.77906
623.9699707,19618.66822
625,19244.17114
626.0200195,18599.16992
627.0499878,18109.65088
627.9400024,17862.48902
628.9699707,17446.39649
630,16992.37793
631.0100098,16513.13477
632.0200195,16125.4895
633.039978,15652.91382
634.0499878,15337.41822
635.0700073,14855.54443
635.9400024,14479.43115
636.9500122,14022.00074
637.9699707,13756.52832
638.9799805,13533.51562
640,13072.90283
641.0100098,12680.43579
642.0200195,12361.82617
643.039978,12095.65552
644.0499878,11656.39282
645.0700073,11333.70117
645.9400024,11118.52539
646.9500122,10787.42432
647.9699707,10490.89966
648.9799805,10285.802
650,9850.056152
651,9668.946536
652,9439.159544
653,9134.451296
654,8844.850464
655,8549.399416
656,8276.607056
657,8108.656008
658,7844.841919
659,7612.489624
660,7374.501342
661.0100098,7194.161377
662.0200195,7068.508911
663.039978,6857.650757
664.0499878,6599.377442
665.0700073,6438.152466
665.9400024,6278.469238
666.9500122,6021.289673
667.9699707,5871.521606
668.9799805,5740.226441
670,5491.988526
671,5331.281128
672,5180.611572
673,5062.266846
674,4921.848755
675,4717.316894
676,4547.718506
677,4414.170227
678,4262.858276
679,4138.023377
680,3969.008484
681,3859.382324
682,3765.354309
683,3600.368652
684,3525.811767
685,3406.616516
686,3288.374634
687,3224.17633
688,3108.109436
689,3084.36737
690,2988.674622
691,2878.844605
692,2836.662293
693,2841.362915
694,2695.683899
695,2640.265503
696,2543.172302
697,2525.949402
698,2441.950074
699,2413.152923
700,2326.862488
700.9799805,2258.121186
701.9699707,2183.286438
702.9500122,2158.640137
703.9400024,2097.298889
705.0700073,2033.287964
706.0499878,1993.276825
707.039978,1913.826446
708.0200195,1896.443939
709.0100098,1800.172272
710,1766.026611
710.9799805,1681.251678
711.9699707,1649.348755
712.9500122,1633.12973
713.9400024,1599.660034
715.0700073,1512.618408
716.0499878,1477.218781
717.039978,1395.745239
718.0200195,1389.236755
719.0100098,1362.220917
720,1290.081634
721,1275.117798
722,1220.045471
723,1212.451401
724,1178.436966
725,1144.929352
726,1113.659592
727,1054.178848
728,1048.179016
729,999.0586088
730,953.0424496
730.9699707,936.9322208
731.9400024,912.6864624
733.0499878,867.4623872
734.0200195,866.9109344
735,827.50618
735.9699707,794.2760467
736.9400024,783.8069153
738.0499878,769.3724823
739.0200195,720.5633545
740,690.0691986
740.9799805,702.7182007
741.9699707,669.9076843
742.9500122,638.2743454
743.9400024,634.2863846
745.0700073,617.8396988
746.0499878,577.1883011
747.039978,563.4516144
748.0200195,563.512001
749.0100098,510.0572967
750,496.3867187
750.9699707,493.3932114
751.9400024,487.3458099
753.0499878,454.5351029
754.0200195,453.6201477
755,445.2742767
755.9699707,443.2380294
756.9400024,414.1932297
758.0499878,399.4232178
759.0200195,394.9341583
760,369.308548
760.9699707,370.8612061
761.9400024,359.6467972
763.0499878,347.3747254
764.0200195,340.5748367
765,319.206047
765.9699707,321.7123794
766.9400024,322.3279571
768.0499878,307.1070862
769.0200195,284.5847511
770,266.2100029
770.9699707,260.2763558
771.9400024,247.9651642
773.0499878,264.1132354
774.0200195,252.4974823
775,244.3429947
775.9699707,219.4618988
776.9400024,223.9954949
778.0499878,213.4833718
779.0200195,214.0302467
780,205.1550102
780.9500122,209.1597175
782.0499878,185.1540374
783.0100098,184.6492958
783.9699707,185.7397079
785.0599976,185.6917762
786.0200195,170.3202248
786.9799805,156.1453629
787.9400024,150.0032616
789.039978,162.8738403
790,166.1288643
790.9500122,162.1016502
792.0499878,174.7523117
793.0100098,169.7559547
793.9699707,181.6004944
795.0599976,201.2621498
796.0200195,203.8848305
796.9799805,210.49757
797.9400024,242.4354554
799.039978,227.1265411
800,220.5658913
800.9500122,216.6497802
802.0499878,188.088417
803.0100098,174.8742866
803.9699707,146.5007019
805.0599976,129.9079895
806.0200195,108.5537529
806.9799805,107.8595734
807.9400024,104.740963
809.039978,86.17256168
810,78.29588414
810.9500122,78.31143856
812.0499878,76.7897749
813.0100098,59.46764469
813.9699707,63.83599758
815.0599976,59.77078914
816.0200195,59.97773647
816.9799805,51.91149234
817.9400024,52.70858765
819.039978,47.33603478
820,42.45623589
820.9400024,46.96603298
822.0200195,42.95248032
822.9699707,48.91311646
824.0499878,37.95871258
825,29.75122929
825.9400024,39.74243641
827.0200195,29.16516304
827.9699707,34.18052674
829.0499878,26.73835278
830,12.25651502
830.9400024,24.04883862
832.0200195,14.66976642
832.9699707,16.17705345
834.0499878,12.25824833
835,13.45567226
835.9400024,-4.404695034
837.0200195,9.393868448
837.9699707,10.1759839
839.0499878,9.580774304
840,1.467339993
841.0599976,-5.810644626
842,1.833114624
843.0599976,4.409041405
844,-5.211311578
845.0599976,-0.033214092
846,-13.97331595
847.0599976,-1.764910221
848,-2.388367653
849.0599976,-5.332622528
850,-0.244019032
850.9400024,-7.977696657
852.0200195,-4.948313236
852.9699707,-12.1967709
854.0499878,-10.98320365
855,-7.11370945
855.9400024,-5.369017124
857.0200195,-4.574508667
857.9699707,-7.252659798
859.0499878,-5.937082767
860,-3.09921503
861.0499878,-11.20412946
861.9699707,-5.330528021
863.0200195,-9.068305496
863.9400024,-6.75589323
865,-12.96090126
866.0499878,-8.24371576
866.9699707,-3.774766922
868.0200195,-17.35907316
868.9400024,-8.666865824
870,-10.09266019
871.0599976,-11.92506194
872,-7.05848813
873.0599976,-11.97642446
874,-10.12572885
875.0599976,-3.004899025
876,0.855023861
877.0599976,-0.215008259
878,-14.39754844
879.0599976,-16.5740633
880,-6.029484272
881.0499878,-12.91198611
881.9699707,-7.747834921
883.0200195,-14.94904757
883.9400024,-13.51615667
885,-11.95267678
886.0499878,-6.721997261
886.9699707,-7.427476645
888.0200195,-11.88359738
888.9400024,-8.21224928
890,-9.09353256
891.0499878,-10.44992447
891.9699707,-9.0482378
893.0200195,-14.40070152
893.9400024,-7.774642706
895,-11.04300022
896.0499878,-4.90958929
896.9699707,-12.9679501
898.0200195,-1.594469547
898.9400024,1.770219803
900,-8.998870848
